class_id,rxcui,generic_name,rela,condition_name
D000686,91235,Digitalis preparation,ci_with,Amyloidosis
D002312,91235,Digitalis preparation,ci_with,"Cardiomyopathy, Hypertrophic"
D004342,91235,Digitalis preparation,ci_with,Drug Hypersensitivity
D006327,91235,Digitalis preparation,ci_with,Heart Block
D010494,91235,Digitalis preparation,ci_with,"Pericarditis, Constrictive"
D017180,91235,Digitalis preparation,ci_with,"Tachycardia, Ventricular"
D014693,91235,Digitalis preparation,ci_with,Ventricular Fibrillation
D006333,91235,Digitalis preparation,may_prevent,Heart Failure
D001008,91235,Digitalis preparation,may_treat,Anxiety Disorders
D001281,91235,Digitalis preparation,may_treat,Atrial Fibrillation
D001282,91235,Digitalis preparation,may_treat,Atrial Flutter
D002303,91235,Digitalis preparation,may_treat,"Cardiac Output, Low"
D006333,91235,Digitalis preparation,may_treat,Heart Failure
D012770,91235,Digitalis preparation,may_treat,"Shock, Cardiogenic"
D013617,91235,Digitalis preparation,may_treat,"Tachycardia, Supraventricular"
D004342,82819,acamprosate,ci_with,Drug Hypersensitivity
D007674,82819,acamprosate,ci_with,Kidney Diseases
D000437,82819,acamprosate,may_treat,Alcoholism
D012892,161203,aceprometazine,may_treat,Sleep Deprivation
D006261,162,acetanilide,may_treat,Headache
D013575,162,acetanilide,may_treat,Syncope
D001778,16735,acetophenazine,ci_with,Blood Coagulation Disorders
D001855,16735,acetophenazine,ci_with,Bone Marrow Diseases
D001925,16735,acetophenazine,ci_with,"Brain Damage, Chronic"
D003128,16735,acetophenazine,ci_with,Coma
D004342,16735,acetophenazine,ci_with,Drug Hypersensitivity
D011618,16735,acetophenazine,may_treat,Psychotic Disorders
D012559,16735,acetophenazine,may_treat,Schizophrenia
D011041,272,activated charcoal,ci_with,Poisoning
D064420,272,activated charcoal,may_prevent,Drug-Related Side Effects and Adverse Reactions
D005414,272,activated charcoal,may_prevent,Flatulence
D003967,272,activated charcoal,may_treat,Diarrhea
D062787,272,activated charcoal,may_treat,Drug Overdose
D005414,272,activated charcoal,may_treat,Flatulence
D011041,272,activated charcoal,may_treat,Poisoning
