rxcui,generic_name,drug_class,atc_codes
82819,acamprosate,Other,N07BB
161203,aceprometazine,Other,
162,acetanilide,Other,
16735,acetophenazine,Antipsychotic,N05AB
272,activated charcoal,Other,A02AF; A07BA
2557217,aducanumab,Anti-dementia,N06DX
70223,aldesleukin,Other,L03AC
237099,alpha tocopherol,Other,A11JA; A11JC; B03AE; C01EX
596,alprazolam,Anxiolytic,N05BA
598,alprostadil,Other,C01EA; G04BE
703,amiodarone,Other,C01BD
704,amitriptyline,Antidepressant,N06AA; N06CA
719,amobarbital,Sedative,N05CA; N05CB
722,amoxapine,Antidepressant,N06AA
725,amphetamine,Stimulant,N06BA
17941,anisindione,Other,
17381,aprobarbital,Sedative,N05CA
89013,aripiprazole,Antipsychotic,N05AX
1673265,aripiprazole lauroxil,Antipsychotic,N05AX
641465,armodafinil,Stimulant,N06BA
784649,asenapine,Antipsychotic,N05AH
38400,atomoxetine,Stimulant,N06BA
1291301,avanafil,Other,G04BE
1292,baclofen,Other,M03BX
1359,belladonna alkaloids,Other,A03CB; A03DB; N02CA
89781,"belladonna extract, USP",Other,
314517,belladonna leaf extract,Other,
1373,benperidol,Antipsychotic,N05AD
2690627,benzgalantamine,Anti-dementia,N06DA
1422,benzphetamine,Other,A08AA
2176312,bremelanotide,Other,G02CX
2121777,brexanolone,Antidepressant,N06AX
1658314,brexpiprazole,Antipsychotic,N05AX
1749,bromazepam,Anxiolytic,N05BA
19759,bromodiphenhydramine,Sedative,
19777,bromperidol,Antipsychotic,N05AD
1819,buprenorphine,Other,N02AE; N07BC
42347,bupropion,Antidepressant,A08AA; N06AX
1827,buspirone,Anxiolytic,N05BE
477631,butabarbital,Sedative,N05CA
19874,butobarbital,Sedative,N05CA
1841,butorphanol,Other,N02AF
2002,carbamazepine,Mood Stabilizer,N03AF
1667655,cariprazine,Antipsychotic,N05AX
2296,charcoal,Other,
2356,chlordiazepoxide,Anxiolytic,A03CA; N05BA; N06CA
2372,chlormethiazole,Sedative,N05CM
2373,chlormezanone,Other,M03BB
2403,chlorpromazine,Antipsychotic,N05AA
2406,chlorprothixene,Antipsychotic,N05AF
2556,citalopram,Antidepressant,N06AB
2597,clomipramine,Antidepressant,N06AA
2598,clonazepam,Mood Stabilizer,N03AE
2599,clonidine,Other,
2603,clopamide,Other,C03BA
2353,clorazepate,Anxiolytic,N05BA
2622,clotiazepam,Anxiolytic,N05BA
2626,clozapine,Antipsychotic,N05AH
2732215,copper histidinate,Other,
3007,cycloserine,Other,J04AB
3013,cyproheptadine,Other,
2591497,daridorexant,Sedative,N05CJ
62174,deserpidine,Other,C02AA; C02LA
3247,desipramine,Antidepressant,N06AA
3251,desmopressin,Other,H01BA
22656,desogestrel,Other,G03AA; G03AB; G03AC
734064,desvenlafaxine,Antidepressant,N06AX
352372,dexmethylphenidate,Stimulant,N06BA
3288,dextroamphetamine,Stimulant,N06BA
3322,diazepam,Anxiolytic,N05BA
3332,dibenzepin,Antidepressant,N06AA
1598,dicumarol,Other,B01AA
3389,diethylpropion,Other,A08AA
3403,digitoxin,Other,C01AA
3407,digoxin,Other,C01AA
203223,digoxin antibodies Fab fragments,Other,V03AB
3415,dihydroergocornine,Other,
3416,dihydroergocristine,Other,C04AE
3417,dihydroergocryptine,Other,N04BC
3498,diphenhydramine,Sedative,
3554,disulfiram,Other,N07BB; P03AA
2687966,donanemab,Anti-dementia,N06DX
135447,donepezil,Anti-dementia,N06DA
3634,dothiepin,Antidepressant,N06AA
3637,doxapram,Other,R07AB
3638,doxepin,Antidepressant,D04AX; N06AA
3642,doxylamine,Sedative,
10402,dronabinol,Other,A04AD
3648,droperidol,Antipsychotic,N05AD
11636,drospirenone,Other,G03AA; G03AC; G03FA
72625,duloxetine,Antidepressant,N06AX
3755,edetic acid,Other,S01XA; V03AB
2612527,elivaldogene autotemcel,Other,A16AX
1653781,eluxadoline,Other,A07DA
4024,"ergoloid mesylates, USP",Other,C04AE
321988,escitalopram,Antidepressant,N06AB
2119365,esketamine,Antidepressant,N01AX; N06AX
4077,estazolam,Sedative,N05CD
461016,eszopiclone,Sedative,N05CF
4118,ethchlorvynol,Sedative,N05CM
24474,ethinamate,Other,
14584,etonogestrel,Other,G02BB; G03AC
4328,fenfluramine,Mood Stabilizer,A08AA; N03AX
1665509,flibanserin,Other,G02CX
4457,flumazenil,Other,V03AB
4460,flunitrazepam,Sedative,N05CD
4493,fluoxetine,Antidepressant,N06AB; N06CA
4495,flupenthixol,Antipsychotic,N05AF
4496,fluphenazine,Antipsychotic,N05AB
4501,flurazepam,Sedative,N05CD
4507,fluspirilene,Antipsychotic,N05AG
42355,fluvoxamine,Antidepressant,N06AB
4603,furosemide,Other,C03CA; C03CB; C03EB
25480,gabapentin,Mood Stabilizer,
4637,galantamine,Anti-dementia,N06DA
2672253,gepirone,Antidepressant,N06AX
325526,ginseng preparation,Other,
