rxcui,generic_name,has_label,product_type,rela,condition_name,indications_and_usage,faers_side_effects
161203,aceprometazine,False,Non-US,may_treat,Sleep Deprivation,,
162,acetanilide,False,Obsolete,may_treat,Headache; Syncope,,
16735,acetophenazine,False,Discontinued/Withdrawn,ci_with,"Blood Coagulation Disorders; Bone Marrow Diseases; Brain Damage, Chronic; Coma; Drug Hypersensitivity",,
16735,acetophenazine,False,Discontinued/Withdrawn,may_treat,Psychotic Disorders; Schizophrenia,,
2557217,aducanumab,False,Discontinued/Withdrawn,may_treat,Alzheimer Disease,,
719,amobarbital,False,Discontinued/Withdrawn,ci_with,Airway Obstruction; Drug Hypersensitivity; Dyspnea; Liver Diseases; Liver Failure; Porphyrias,,
719,amobarbital,False,Discontinued/Withdrawn,may_treat,Anxiety Disorders; Seizures; Sleep Initiation and Maintenance Disorders; Status Epilepticus,,
17941,anisindione,False,Discontinued/Withdrawn,,"Abortion, Threatened; Alcoholism; Aneurysm; Ascorbic Acid Deficiency; Carcinoma; Cerebral Hemorrhage; Diverticulitis; Drug Hypersensitivity; Eclampsia; Emaciation; Endocarditis, Bacterial; Gastrointestinal Hemorrhage; Hemophilia A; Hemophilia B; Hypertension, Malignant; Leukemia; Liver Diseases; Pericardial Effusion; Pericarditis; Postoperative Hemorrhage; Pre-Eclampsia; Pregnancy; Prostatic Diseases; Protein-Energy Malnutrition; Purpura, Thrombocytopenic; Vitamin K Deficiency",,
17941,anisindione,False,Discontinued/Withdrawn,,Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
17941,anisindione,False,Discontinued/Withdrawn,,Atrial Fibrillation; Coronary Occlusion; Embolism; Myocardial Infarction; Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
17381,aprobarbital,False,Discontinued/Withdrawn,,Bronchopneumonia; Drug Hypersensitivity; Porphyrias; Respiratory Insufficiency,,
17381,aprobarbital,False,Discontinued/Withdrawn,,Sleep Initiation and Maintenance Disorders,,
1359,belladonna alkaloids,False,Obsolete,ci_with,Alcoholism; Asthma; Glaucoma; Kidney Diseases; Liver Diseases; Seizures,,
1359,belladonna alkaloids,False,Obsolete,may_treat,Gastrointestinal Diseases; Headache; Menopause; Spasm,,
89781,"belladonna extract, USP",False,Obsolete,ci_with,Alcoholism; Asthma; Glaucoma; Kidney Diseases; Liver Diseases; Seizures,,
89781,"belladonna extract, USP",False,Obsolete,may_treat,Gastrointestinal Diseases; Headache; Menopause; Spasm,,
314517,belladonna leaf extract,False,Obsolete,ci_with,Alcoholism; Asthma; Glaucoma; Kidney Diseases; Liver Diseases; Seizures,,
314517,belladonna leaf extract,False,Obsolete,may_treat,Gastrointestinal Diseases; Headache; Menopause; Spasm,,
1373,benperidol,False,Non-US,may_treat,Anxiety Disorders; Dementia; Depression; Psychotic Disorders; Schizophrenia,,
2121777,brexanolone,False,Discontinued/Withdrawn,may_treat,"Depression, Postpartum",,
1749,bromazepam,False,Non-US,may_treat,Anxiety Disorders; Sleep Initiation and Maintenance Disorders; Substance Withdrawal Syndrome,,
