class_id,class_name,depth,rxcui,generic_name,tty,rela
D000379,Agoraphobia,3,596,alprazolam,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,4850,glucose,IN,ci_with
D000430,Alcohol Withdrawal Delirium,3,2356,chlordiazepoxide,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,2353,clorazepate,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,3322,diazepam,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,7486,nitrous oxide,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,7781,oxazepam,IN,may_treat
D000430,Alcohol Withdrawal Delirium,3,8627,prazepam,IN,may_treat
D019973,Alcohol-Related Disorders,2,17941,anisindione,IN,ci_with
D019973,Alcohol-Related Disorders,2,1359,belladonna alkaloids,IN,ci_with
D019973,Alcohol-Related Disorders,2,89781,"belladonna extract, USP",IN,ci_with
D019973,Alcohol-Related Disorders,2,314517,belladonna leaf extract,IN,ci_with
D019973,Alcohol-Related Disorders,2,3007,cycloserine,IN,ci_with
D019973,Alcohol-Related Disorders,2,1598,dicumarol,IN,ci_with
D019973,Alcohol-Related Disorders,2,1653781,eluxadoline,IN,ci_with
D019973,Alcohol-Related Disorders,2,4850,glucose,IN,ci_with
D019973,Alcohol-Related Disorders,2,6851,methotrexate,IN,ci_with
D019973,Alcohol-Related Disorders,2,8150,phenprocoumon,IN,ci_with
D019973,Alcohol-Related Disorders,2,8702,procarbazine,IN,ci_with
D019973,Alcohol-Related Disorders,2,8704,prochlorperazine,IN,ci_with
D019973,Alcohol-Related Disorders,2,11289,warfarin,IN,ci_with
D019973,Alcohol-Related Disorders,2,82819,acamprosate,IN,may_treat
D019973,Alcohol-Related Disorders,2,2356,chlordiazepoxide,IN,may_treat
D019973,Alcohol-Related Disorders,2,2556,citalopram,IN,may_treat
D019973,Alcohol-Related Disorders,2,2599,clonidine,IN,may_treat
D019973,Alcohol-Related Disorders,2,2353,clorazepate,IN,may_treat
D019973,Alcohol-Related Disorders,2,3322,diazepam,IN,may_treat
D019973,Alcohol-Related Disorders,2,3554,disulfiram,IN,may_treat
D019973,Alcohol-Related Disorders,2,5514,hydroxocobalamin,IN,may_treat
D019973,Alcohol-Related Disorders,2,700810,lisdexamfetamine,IN,may_treat
D019973,Alcohol-Related Disorders,2,29421,mecobalamin,IN,may_treat
D019973,Alcohol-Related Disorders,2,6779,mesoridazine,IN,may_treat
D019973,Alcohol-Related Disorders,2,7243,naltrexone,IN,may_treat
D019973,Alcohol-Related Disorders,2,7486,nitrous oxide,IN,may_treat
D019973,Alcohol-Related Disorders,2,26225,ondansetron,IN,may_treat
D019973,Alcohol-Related Disorders,2,7781,oxazepam,IN,may_treat
D019973,Alcohol-Related Disorders,2,8627,prazepam,IN,may_treat
D019973,Alcohol-Related Disorders,2,10454,thiamine,IN,may_treat
D019973,Alcohol-Related Disorders,2,11248,vitamin B12,IN,may_treat
D000435,Alcoholic Intoxication,3,8702,procarbazine,IN,ci_with
D000437,Alcoholism,3,17941,anisindione,IN,ci_with
D000437,Alcoholism,3,1359,belladonna alkaloids,IN,ci_with
D000437,Alcoholism,3,89781,"belladonna extract, USP",IN,ci_with
D000437,Alcoholism,3,314517,belladonna leaf extract,IN,ci_with
D000437,Alcoholism,3,3007,cycloserine,IN,ci_with
D000437,Alcoholism,3,1598,dicumarol,IN,ci_with
D000437,Alcoholism,3,1653781,eluxadoline,IN,ci_with
D000437,Alcoholism,3,8150,phenprocoumon,IN,ci_with
D000437,Alcoholism,3,8704,prochlorperazine,IN,ci_with
D000437,Alcoholism,3,11289,warfarin,IN,ci_with
D000437,Alcoholism,3,82819,acamprosate,IN,may_treat
D000437,Alcoholism,3,2556,citalopram,IN,may_treat
D000437,Alcoholism,3,3554,disulfiram,IN,may_treat
D000437,Alcoholism,3,6779,mesoridazine,IN,may_treat
D000437,Alcoholism,3,7243,naltrexone,IN,may_treat
D000437,Alcoholism,3,26225,ondansetron,IN,may_treat
D000544,Alzheimer Disease,3,2557217,aducanumab,IN,may_treat
D000544,Alzheimer Disease,3,2687966,donanemab,IN,may_treat
D000544,Alzheimer Disease,3,135447,donepezil,IN,may_treat
D000544,Alzheimer Disease,3,4637,galantamine,IN,may_treat
D000544,Alzheimer Disease,3,2267703,huperzine A,IN,may_treat
D000544,Alzheimer Disease,3,2626143,lecanemab,IN,may_treat
D000544,Alzheimer Disease,3,6719,memantine,IN,may_treat
D000544,Alzheimer Disease,3,183379,rivastigmine,IN,may_treat
D000544,Alzheimer Disease,3,9639,selegiline,IN,may_treat
D000544,Alzheimer Disease,3,10318,tacrine,IN,may_treat
D000544,Alzheimer Disease,3,314875,"tocopheryl acid succinate,D-alpha",IN,may_treat
D000544,Alzheimer Disease,3,1314420,tricaprylin,IN,may_treat
D000544,Alzheimer Disease,3,11256,vitamin E,IN,may_treat
D000856,Anorexia Nervosa,2,36514,sibutramine,IN,ci_with
D001008,Anxiety Disorders,1,352372,dexmethylphenidate,IN,ci_with
D001008,Anxiety Disorders,1,6694,mefloquine,IN,ci_with
D001008,Anxiety Disorders,1,6901,methylphenidate,IN,ci_with
D001008,Anxiety Disorders,1,91235,Digitalis preparation,IN,may_treat
D001008,Anxiety Disorders,1,596,alprazolam,IN,may_treat
D001008,Anxiety Disorders,1,719,amobarbital,IN,may_treat
D001008,Anxiety Disorders,1,1373,benperidol,IN,may_treat
D001008,Anxiety Disorders,1,1749,bromazepam,IN,may_treat
D001008,Anxiety Disorders,1,19759,bromodiphenhydramine,IN,may_treat
D001008,Anxiety Disorders,1,1827,buspirone,IN,may_treat
D001008,Anxiety Disorders,1,2356,chlordiazepoxide,IN,may_treat
D001008,Anxiety Disorders,1,2373,chlormezanone,IN,may_treat
D001008,Anxiety Disorders,1,2403,chlorpromazine,IN,may_treat
D001008,Anxiety Disorders,1,2556,citalopram,IN,may_treat
D001008,Anxiety Disorders,1,2597,clomipramine,IN,may_treat
D001008,Anxiety Disorders,1,2598,clonazepam,IN,may_treat
D001008,Anxiety Disorders,1,2603,clopamide,IN,may_treat
D001008,Anxiety Disorders,1,2353,clorazepate,IN,may_treat
D001008,Anxiety Disorders,1,2622,clotiazepam,IN,may_treat
D001008,Anxiety Disorders,1,3322,diazepam,IN,may_treat
D001008,Anxiety Disorders,1,3403,digitoxin,IN,may_treat
D001008,Anxiety Disorders,1,3407,digoxin,IN,may_treat
D001008,Anxiety Disorders,1,3498,diphenhydramine,IN,may_treat
D001008,Anxiety Disorders,1,3638,doxepin,IN,may_treat
D001008,Anxiety Disorders,1,72625,duloxetine,IN,may_treat
D001008,Anxiety Disorders,1,4493,fluoxetine,IN,may_treat
D001008,Anxiety Disorders,1,42355,fluvoxamine,IN,may_treat
D001008,Anxiety Disorders,1,25480,gabapentin,IN,may_treat
D001008,Anxiety Disorders,1,26412,halazepam,IN,may_treat
D001008,Anxiety Disorders,1,5553,hydroxyzine,IN,may_treat
D001008,Anxiety Disorders,1,5691,imipramine,IN,may_treat
D001008,Anxiety Disorders,1,285228,kava preparation,IN,may_treat
D001008,Anxiety Disorders,1,6470,lorazepam,IN,may_treat
D001008,Anxiety Disorders,1,6646,maprotiline,IN,may_treat
D001008,Anxiety Disorders,1,6680,medazepam,IN,may_treat
D001008,Anxiety Disorders,1,6760,meprobamate,IN,may_treat
D001008,Anxiety Disorders,1,6852,methotrimeprazine,IN,may_treat
D001008,Anxiety Disorders,1,6960,midazolam,IN,may_treat
D001008,Anxiety Disorders,1,3155,nordazepam,IN,may_treat
D001008,Anxiety Disorders,1,7531,nortriptyline,IN,may_treat
D001008,Anxiety Disorders,1,7781,oxazepam,IN,may_treat
D001008,Anxiety Disorders,1,32937,paroxetine,IN,may_treat
D001008,Anxiety Disorders,1,8627,prazepam,IN,may_treat
D001008,Anxiety Disorders,1,8704,prochlorperazine,IN,may_treat
D001008,Anxiety Disorders,1,8770,propiomazine,IN,may_treat
D001008,Anxiety Disorders,1,8787,propranolol,IN,may_treat
D001008,Anxiety Disorders,1,60842,reboxetine,IN,may_treat
D001008,Anxiety Disorders,1,36437,sertraline,IN,may_treat
D001008,Anxiety Disorders,1,10355,temazepam,IN,may_treat
D001008,Anxiety Disorders,1,37985,tetrazepam,IN,may_treat
D001008,Anxiety Disorders,1,10437,theobromine,IN,may_treat
D001008,Anxiety Disorders,1,10464,thiamylal,IN,may_treat
D001008,Anxiety Disorders,1,38365,tofisopam,IN,may_treat
D001008,Anxiety Disorders,1,10800,trifluoperazine,IN,may_treat
D001008,Anxiety Disorders,1,39786,venlafaxine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,1422,benzphetamine,IN,ci_with
D001289,Attention Deficit Disorder with Hyperactivity,3,725,amphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,38400,atomoxetine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,42347,bupropion,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,2599,clonidine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,3247,desipramine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,352372,dexmethylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,3288,dextroamphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,40114,guanfacine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,5691,imipramine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,700810,lisdexamfetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,6816,methamphetamine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,6901,methylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,30125,modafinil,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,7531,nortriptyline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,7966,pemoline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,60842,reboxetine,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,9639,selegiline,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,2562176,serdexmethylphenidate,IN,may_treat
D001289,Attention Deficit Disorder with Hyperactivity,3,39786,venlafaxine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,1422,benzphetamine,IN,ci_with
D019958,Attention Deficit and Disruptive Behavior Disorders,2,725,amphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,38400,atomoxetine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,42347,bupropion,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2403,chlorpromazine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2599,clonidine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,3247,desipramine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,352372,dexmethylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,3288,dextroamphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,40114,guanfacine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,5691,imipramine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,700810,lisdexamfetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6448,lithium,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,746070,lithium aspartate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,42351,lithium carbonate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,52105,lithium citrate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6816,methamphetamine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,6901,methylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,30125,modafinil,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,7531,nortriptyline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,7966,pemoline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,60842,reboxetine,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,9639,selegiline,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,2562176,serdexmethylphenidate,IN,may_treat
D019958,Attention Deficit and Disruptive Behavior Disorders,2,39786,venlafaxine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,4328,fenfluramine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,51272,quetiapine,IN,may_treat
D000067877,Autism Spectrum Disorder,3,35636,risperidone,IN,may_treat
D000067877,Autism Spectrum Disorder,3,39786,venlafaxine,IN,may_treat
D001321,Autistic Disorder,4,4328,fenfluramine,IN,may_treat
D001321,Autistic Disorder,4,51272,quetiapine,IN,may_treat
