icd11_code,icd11_title,icd11_uri,browser_link,pool_tier
MB20.0,Stupor,http://id.who.int/icd/entity/1000337196,https://icd.who.int/browse/2025-01/mms/en#1000337196,A
MB20.1,Coma,http://id.who.int/icd/entity/1328725971,https://icd.who.int/browse/2025-01/mms/en#1328725971,A
MB20.2,Clouding of consciousness,http://id.who.int/icd/entity/1505501372,https://icd.who.int/browse/2025-01/mms/en#1505501372,A
MB21.0,Age-associated cognitive decline,http://id.who.int/icd/entity/584231559,https://icd.who.int/browse/2025-01/mms/en#584231559,A
MB21.10,Anterograde amnesia,http://id.who.int/icd/entity/661071789,https://icd.who.int/browse/2025-01/mms/en#661071789,A
MB21.11,Retrograde amnesia,http://id.who.int/icd/entity/1405777748,https://icd.who.int/browse/2025-01/mms/en#1405777748,A
MB21.12,Transient global amnesia,http://id.who.int/icd/entity/1524600518,https://icd.who.int/browse/2025-01/mms/en#1524600518,A
MB21.2,Anosognosia,http://id.who.int/icd/entity/833222383,https://icd.who.int/browse/2025-01/mms/en#833222383,A
MB21.3,Confabulation,http://id.who.int/icd/entity/292722503,https://icd.who.int/browse/2025-01/mms/en#292722503,A
MB21.4,Disorientation,http://id.who.int/icd/entity/1110239801,https://icd.who.int/browse/2025-01/mms/en#1110239801,A
MB21.5,Distractibility,http://id.who.int/icd/entity/1112468506,https://icd.who.int/browse/2025-01/mms/en#1112468506,A
MB21.6,Impaired abstract thinking,http://id.who.int/icd/entity/1736683994,https://icd.who.int/browse/2025-01/mms/en#1736683994,A
MB21.7,Impaired executive functioning,http://id.who.int/icd/entity/1675353974,https://icd.who.int/browse/2025-01/mms/en#1675353974,A
MB21.8,Impaired judgment,http://id.who.int/icd/entity/47640305,https://icd.who.int/browse/2025-01/mms/en#47640305,A
MB21.9,Perseveration,http://id.who.int/icd/entity/1965065010,https://icd.who.int/browse/2025-01/mms/en#1965065010,A
MB21.A,Poor concentration,http://id.who.int/icd/entity/656126771,https://icd.who.int/browse/2025-01/mms/en#656126771,A
MB21.B,Racing thoughts,http://id.who.int/icd/entity/1868362076,https://icd.who.int/browse/2025-01/mms/en#1868362076,A
MB22.0,Avolition,http://id.who.int/icd/entity/564332684,https://icd.who.int/browse/2025-01/mms/en#564332684,A
MB22.1,Decreased libido,http://id.who.int/icd/entity/867236062,https://icd.who.int/browse/2025-01/mms/en#867236062,A
MB22.2,Demoralization,http://id.who.int/icd/entity/1581226979,https://icd.who.int/browse/2025-01/mms/en#1581226979,A
MB22.3,Hopelessness,http://id.who.int/icd/entity/1637562054,https://icd.who.int/browse/2025-01/mms/en#1637562054,A
MB22.4,Increased energy,http://id.who.int/icd/entity/1858128407,https://icd.who.int/browse/2025-01/mms/en#1858128407,A
MB22.5,Increased goal-directed activity,http://id.who.int/icd/entity/234408840,https://icd.who.int/browse/2025-01/mms/en#234408840,A
MB22.6,Increased libido,http://id.who.int/icd/entity/744774024,https://icd.who.int/browse/2025-01/mms/en#744774024,A
MB22.7,Tiredness,http://id.who.int/icd/entity/507899211,https://icd.who.int/browse/2025-01/mms/en#507899211,A
MB23.0,Aggressive behaviour,http://id.who.int/icd/entity/501393848,https://icd.who.int/browse/2025-01/mms/en#501393848,A
MB23.1,Antisocial behaviour,http://id.who.int/icd/entity/2004913297,https://icd.who.int/browse/2025-01/mms/en#2004913297,A
MB23.2,Avoidance behaviour,http://id.who.int/icd/entity/1521194458,https://icd.who.int/browse/2025-01/mms/en#1521194458,A
MB23.3,Bradyphrenia,http://id.who.int/icd/entity/1460125105,https://icd.who.int/browse/2025-01/mms/en#1460125105,A
