class_id,rxcui,generic_name,rela,condition_name
D001008,91235,Digitalis preparation,may_treat,Anxiety Disorders
D019973,82819,acamprosate,may_treat,Alcohol-Related Disorders
D000437,82819,acamprosate,may_treat,Alcoholism
D019966,82819,acamprosate,may_treat,Substance-Related Disorders
D020920,161203,aceprometazine,may_treat,Dyssomnias
D012892,161203,aceprometazine,may_treat,Sleep Deprivation
D012893,161203,aceprometazine,may_treat,Sleep Wake Disorders
D003244,162,acetanilide,may_treat,Consciousness Disorders
D003244,16735,acetophenazine,ci_with,Consciousness Disorders
D011618,16735,acetophenazine,may_treat,Psychotic Disorders
D012559,16735,acetophenazine,may_treat,Schizophrenia
D019967,16735,acetophenazine,may_treat,Schizophrenia Spectrum and Other Psychotic Disorders
D000076064,272,activated charcoal,may_treat,Drug Misuse
D062787,272,activated charcoal,may_treat,Drug Overdose
D063487,272,activated charcoal,may_treat,Prescription Drug Misuse
D019966,272,activated charcoal,may_treat,Substance-Related Disorders
D000544,2557217,aducanumab,may_treat,Alzheimer Disease
D003704,2557217,aducanumab,may_treat,Dementia
D019965,2557217,aducanumab,may_treat,Neurocognitive Disorders
D003244,70223,aldesleukin,ci_with,Consciousness Disorders
D011618,70223,aldesleukin,ci_with,Psychotic Disorders
D019967,70223,aldesleukin,ci_with,Schizophrenia Spectrum and Other Psychotic Disorders
D000544,237099,alpha tocopherol,may_prevent,Alzheimer Disease
D003704,237099,alpha tocopherol,may_prevent,Dementia
D019965,237099,alpha tocopherol,may_prevent,Neurocognitive Disorders
D000379,596,alprazolam,may_treat,Agoraphobia
D001008,596,alprazolam,may_treat,Anxiety Disorders
D003866,596,alprazolam,may_treat,Depressive Disorder
D019964,596,alprazolam,may_treat,Mood Disorders
D016584,596,alprazolam,may_treat,Panic Disorder
D010698,596,alprazolam,may_treat,Phobic Disorders
D007172,598,alprostadil,may_treat,Erectile Dysfunction
D003244,703,amiodarone,ci_with,Consciousness Disorders
D003866,704,amitriptyline,may_treat,Depressive Disorder
D019964,704,amitriptyline,may_treat,Mood Disorders
D001008,719,amobarbital,may_treat,Anxiety Disorders
D020920,719,amobarbital,may_treat,Dyssomnias
D020919,719,amobarbital,may_treat,"Sleep Disorders, Intrinsic"
